,date,active_mins,fat_burn_mins,cardio_mins,peak_mins
0,2024-09-12,26,0,0,0
1,2024-09-13,26,0,0,0
2,2024-09-14,86,0,38,0
3,2024-09-15,8,0,4,0
4,2024-09-16,38,0,0,0
5,2024-09-17,29,0,2,0
6,2024-09-18,38,0,0,0
7,2024-09-19,42,0,6,0
8,2024-09-20,51,0,6,0
9,2024-09-21,27,0,8,0
10,2024-09-22,37,0,20,0
11,2024-09-23,12,0,0,0
12,2024-09-24,22,0,2,0
13,2024-09-25,40,0,12,0
14,2024-09-26,41,0,2,0
15,2024-09-27,57,0,2,0
16,2024-09-28,1,0,0,0
17,2024-09-29,4,0,0,0
18,2024-09-30,35,0,0,0
19,2024-10-01,29,0,0,0
20,2024-10-02,16,0,0,0
21,2024-10-03,31,0,4,0
22,2024-10-04,15,0,0,0
23,2024-10-05,5,0,0,0
24,2024-10-06,3,0,0,0
25,2024-10-07,27,0,0,0
26,2024-10-08,32,0,0,0
